Source ID,Source Name,Latitude (N),"Longitude (W, 360)",JIRAM Detections by Orbit,Max Spectral Radiance (GW/µm),Max Unsaturated Spectral Radiance (GW/µm),Average Unsaturated Spectral Radiance (GW/µm),Min Unsaturated Spectral Radiance (GW/µm),Earlier Detections,Notes
JRM173,Pele,-19,255.7,"10, 24, 25i, 25o, 27o, 32i, 32o, 33, 35, 37i, 37o, 40",17.43275689,17.31329691,11.34305974,6.362357337,"NIMS, PPR, LEISA, Cantrall2018",
JRM174,PV197,-25.7,257.4,"24, 32i, 37i, 37o",2.188828598,2.188828598,1.077962527,1.049287276,,
JRM175,PV32,37.2,259.6,"24, 25i, 32i, 33, 37i, 40, 43",0.217807926,0.217807926,0.1185711,0.019965927,"NIMS, PPR",
JRM176,PFu1276,53,263.3,"7, 16, 17, 24, 25i, 32i, 33, 37i, 40, 41, 43",0.863536907,0.863536907,0.4059018,0.241502367,"NIMS, PPR",
JRM177,PV34,30.9,263.8,"7, 25i",0.426200285,0.426200285,0.240431223,0.05466216,NIMS,
JRM178,,-39.4,264.1,"24, 37i",0.870814765,0.870814765,0.467795073,0.06477538,,
JRM179,Shakuru Patera,23.8,265.5,"24, 25i, 32i, 33, 37i, 40, 41, 43",2.746591574,2.746591574,1.355899817,0.408933496,"NIMS, PPR, deKleer2019",
JRM180,Svarog Patera,-48.1,265.9,"9, 10, 25o, 32o",3.158341536,3.158341536,1.226278899,0.593988033,"NIMS, PPR, deKleer2019",
JRM181,Mithra Patera,-59.6,266.5,"9, 10, 32o, 37o",1.082847537,1.082847537,0.807358916,0.512448203,"NIMS, PPR, Cantrall2018",
JRM182,PV194,-54.2,269,"10, 25o, 27o, 32i, 32o, 33, 35, 37i, 37o, 40",14.00536738,14.00536738,2.40949316,0.201090221,NIMS,Between Svarog and Mithra
JRM183,,-16,271.5,"9, 10, 25i, 32i, 32o, 37i, 37o, 40",0.257587056,0.257587056,0.159857328,0.088423672,PPR?,
JRM184,Babbar Patera,-39.3,271.6,"9, 10, 24, 25o, 27o, 32i, 32o, 33, 37i, 37o, 40",3.643829845,3.643829845,2.342575661,1.282474041,"NIMS, PPR",
JRM185,Lei-Kung C,72.6,272,"7, 24, 25i, 26, 33, 37i, 41, 43",3.402252556,1.773579677,0.602262787,0.267268389,,
JRM186,Daedalus Patera,19,273.7,"7, 24, 25i, 32i, 33, 37i, 40, 41, 43",7.034249054,4.92383715,0.631452227,0.12222304,"NIMS, PPR, Cantrall2018",
JRM187,Tabiti Patera,-7.6,275.3,"10, 24, 25i, 25o, 27o, 32i, 32o, 33, 37i, 37o, 40",10.55912584,7.601232972,3.277219846,0.276603001,"NIMS, PPR",Name approved by IAU Apr 2023
JRM188,PV46,7,276.7,"25i, 32i",1.188932121,1.188932121,0.675786935,0.162641749,,Close to JRM190
JRM189,PV47,51.2,277.6,"7, 25i",0.154356548,0.154356548,0.104244343,0.054132138,"NIMS, Cantrall2018",
JRM190,PV49,6.6,279.5,"24, 25i, 25o, 33, 37i, 37o, 40",1.03738191,1.03738191,0.364257912,0.137517593,NIMS,
JRM191,Tiwaz Patera,-70.5,280.3,"9, 10, 25o, 27o, 32o, 35, 37o",21.27214588,5.603648058,1.133877717,0.361058344,NIMS,Name approved by IAU Apr 2023
JRM192,PV52,16.1,281.4,"24, 25i, 32i",0.262344113,0.262344113,0.21072114,0.052303107,,
JRM193,PV54,3.5,283.1,"24, 25i, 32o, 37i",0.505278925,0.505278925,0.375551477,0.032523563,NIMS,
JRM194,Ulgen Patera,-40.8,287,"9, 10, 24, 25o, 27o, 32i, 32o, 33, 35, 37i, 37o, 40",32.70420741,32.70420741,8.739844866,4.786165043,"NIMS, PPR, Cantrall2018",
JRM195,Hephaestus Patera,1.4,289.5,"9, 24, 25i, 25o, 32i, 32o, 33, 37i, 37o, 40",0.969181108,0.969181108,0.356983062,0.206270697,"NIMS, PPR, LEISA, Cantrall2018",
JRM196,Shurdi Patera,-38.5,290.5,"32i, 33, 37i",3.156788287,3.156788287,2.599887596,0.779713453,"NIMS, LEISA, deKleer2019",Close to JRM194; Name approved by IAU Apr 2023
