"name","longitude","latitude","power_gw","epoch","instrument","source_id","source","power_is_estimated","basis_column"
"P212","-75.5","-26.5","8.952693804","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM052","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Tawhaki Patera","-75.8","2.9","107.176527108","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM053","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"P185","-75.9","-13.6","7.240500324","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM054","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Zal Patera A","-76.3","39.1","190.30646304","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM050","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Tonatiuh C","-77.8","52","74.177030934","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM055","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"P224","-82.6","-19.5","188.24490792","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM056","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Tonatiuh A","-84.4","51.6","150.331084902","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM057","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"P225","-84.7","-11.3","2.557295262","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM058","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"E Ekhi","-86.3","-29.2","30.436962732","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM059","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Verbti Patera","-87.6","37.7","10.409266584","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM060","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Estan Patera","-87.7","21.6","9.474362874","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM061","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"P223","-88.2","-19.5","1.570202316","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM062","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Gish Bar Patera","-89.7","15.6","140.117229414","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM063","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Asis Patera","-92.1","44.1","39.570377094","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM064","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"P207","-93.2","-37.2","19.915920882","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM065","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Pajonn Patera","-93.3","83.5","10.535987538","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM066","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"P226","-97.3","6","48.609913914","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM067","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Sigurd Patera","-97.9","-5.9","13.593126852","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM068","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
