"source_id","name","latitude","longitude_west_360","longitude","jiram_detections_by_orbit","max_spectral_radiance_gw_um","max_unsaturated_spectral_radiance_gw_um","avg_unsaturated_spectral_radiance_gw_um","min_unsaturated_spectral_radiance_gw_um","earlier_detections","notes","source"
"JRM046","Tonatiuh B","56.5","65.5","-65.5","7, 11, 16, 17, 18, 24, 25i, 26, 27i, 41, 43","16.18786879","4.565713738","3.163947043","1.156162582","Cantrall2018","Name approved by IAU Mar 2023. Eastern end of Tonatiuh","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM047","P203","-49.3","71.8","-71.8","9, 32o, 35","0.583714184","0.583714184","0.335752614","0.330460516","NIMS, deKleer2019","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM048","JRM048","-83","73","-73","10, 25o, 27o, 32o, 35, 37o","5.814549562","5.814549562","2.19811036","0.026588997","","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM256","Zal Patera B","39.9","73.1","-73.1","25i, 41, 43","5.853512373","5.853512373","0.414739623","0.341070734","NIMS","Close to JRM050","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM049","P183","34.5","74.5","-74.5","17, 18, 26, 41, 43","0.558879538","0.558879538","0.340582901","0.009051998","NIMS","Close to JRM050","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM051","P233","21.1","75.3","-75.3","11, 16, 17, 18, 20, 26, 27i, 41, 43","0.468466375","0.468466375","0.323216934","0.142790954","NIMS, LEISA","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM052","P212","-26.5","75.5","-75.5","17, 20","0.497371878","0.497371878","0.361798957","0.226226035","","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM053","Tawhaki Patera","2.9","75.8","-75.8","5, 9, 11, 16, 17, 18, 20, 26, 27i, 35, 41","16.94971764","5.954251506","3.440371357","0.954433485","NIMS, LEISA, Cantrall2018","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM054","P185","-13.6","75.9","-75.9","16, 17, 18, 27i","0.402250018","0.402250018","0.208182778","0.06520556","NIMS","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM050","Zal Patera A","39.1","76.3","-76.3","7, 11, 16, 17, 18, 20, 25i, 26, 27i, 41, 43","14.43130284","10.57258128","8.844007973","3.673210608","NIMS, LEISA, Cantrall2018","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM055","Tonatiuh C","52","77.8","-77.8","7, 11, 17, 18, 25i, 27i, 41, 43","18.02554255","4.120946163","2.431883634","1.428485104","","Name approved by IAU Mar 2023. Center hotspot of Tonatiuh","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM056","P224","-19.5","82.6","-82.6","5, 16, 17, 18, 26, 35","10.45805044","10.45805044","0.678502866","0.267948968","NIMS, Cantrall2018","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM057","Tonatiuh A","51.6","84.4","-84.4","16, 17, 18, 24, 25i, 26, 27i, 41, 43","21.71931885","8.351726939","6.760855999","6.689347448","","Name approved by IAU Mar 2023. Western end of Tonatiuh. Radiance on 16 and 26 includes Tonatiuh C","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM058","P225","-11.3","84.7","-84.7","17, 18","0.142071959","0.142071959","0.132802894","0.123533828","NIMS","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM059","E Ekhi","-29.2","86.3","-86.3","9, 10, 17, 18","1.690942374","1.690942374","0.526490915","0.260624656","NIMS?","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM060","Verbti Patera","37.7","87.6","-87.6","17, 28, 26, 41, 43","0.578292588","0.578292588","0.493553809","0.375456181","NIMS","Name approved by IAU Mar 2023","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM061","Estan Patera","21.6","87.7","-87.7","17, 18, 41, 43","0.526353493","0.526353493","0.334741411","0.184219853","NIMS, Cantrall2018","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM062","P223","-19.5","88.2","-88.2","17","0.087233462","0.087233462","0.087233462","0.087233462","NIMS","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM063","Gish Bar Patera","15.6","89.7","-89.7","7, 11, 16, 17, 18, 20, 26, 27i, 41, 43","8.533474667","7.784290523","2.855793895","0.684189932","NIMS, Cantrall2018","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM064","Asis Patera","44.1","92.1","-92.1","7, 11, 16, 17, 18, 25i, 26, 27i, 41, 43","13.54322879","2.198354283","1.501281334","1.027821987","NIMS, Cantrall2018","Name approved by IAU Mar 2023","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM065","P207","-37.2","93.2","-93.2","27o, 35","1.106440049","1.106440049","0.938973709","0.771507368","NIMS, Cantrall2018","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM066","Pajonn Patera","83.5","93.3","-93.3","7, 11, 16, 17, 18, 24, 25i, 26, 27i, 32i, 41, 43","0.585332641","0.585332641","0.311026651","0.125203884","NIMS","Name approved by IAU Mar 2023","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM067","P226","6","97.3","-97.3","16, 17, 18, 20, 26, 27i, 35, 41","2.700550773","2.700550773","0.877938916","0.203744998","NIMS, Cantrall2018?","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM068","Sigurd Patera","-5.9","97.9","-97.9","16, 17, 18","0.755173714","0.755173714","0.716443665","0.638472744","NIMS, Cantrall2018","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM069","Shango Patera","33.8","98.6","-98.6","7, 11, 16, 17, 18, 20, 26, 27i, 41, 43","4.64778359","4.64778359","1.894884107","0.884955084","NIMS, Cantrall2018","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM070","Itzamna Patera","-16.2","99.1","-99.1","16, 17, 18, 35","2.240252836","2.240252836","2.065500327","1.212662581","NIMS, Cantrall2018","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM071","Arusha Patera","-39.1","101.3","-101.3","9, 10, 16, 27i, 35","12.15274532","3.663740135","1.720024788","1.545020833","NIMS, deKleer2019","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM072","Catha Patera","-53.8","101.4","-101.4","5, 9, 10, 25o, 27o, 32o, 35","1.519695462","1.519695462","1.315841422","0.77742475","NIMS, Cantrall2018","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM266","PV2","-25.1","101.5","-101.5","16","0.074110467","0.074110467","0.074110467","0.074110467","","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM073","Monan Patera","19.6","104.7","-104.7","7, 16, 17, 18, 26, 27i, 41, 43","3.406889157","3.406889157","2.292590901","0.732185775","NIMS","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM074","Ah Peku Patera","10.4","106.9","-106.9","16, 17, 18, 26, 41, 43","1.828045806","1.828045806","0.65951472","0.205044527","NIMS","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM075","P197","-47.4","108.7","-108.7","10","0.648349087","0.648349087","0.648349087","0.648349087","NIMS, Cantrall2018","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM076","P216","-9.2","108.8","-108.8","16, 17, 35","0.429920863","0.429920863","0.086183659","0.057264407","NIMS?","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM077","Amirani A","21.8","114.8","-114.8","7, 11, 16, 17, 18, 26, 41, 43","15.368286","15.368286","13.45422254","6.24880329","NIMS, LEISA, Cantrall2018","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM078","Amirani B (P235?)","30.5","115.2","-115.2","17, 18, 41, 43","0.293378841","0.293378841","0.208071786","0.113578188","NIMS","Close to JRM077","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM257","Amirani C (P61?)","18.4","117.3","-117.3","43","2.135243728","2.135243728","2.135243728","2.135243728","NIMS","Close to JRM077","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM079","Tvashtar B (P155)","59.3","118","-118","7, 16, 41, 43","0.208353593","0.208353593","0.135225035","0.070601413","NIMS","Close to JRM084","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM080","Dusura Patera","37.2","118.9","-118.9","16, 17, 18, 26, 41, 43","46.91220084","3.243808468","1.121161196","0.125674886","NIMS, Cantrall2018","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM081","Emakong Patera","-3.4","119.8","-119.8","16, 17, 18","0.172501404","0.172501404","0.144055092","0.091802088","NIMS","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM082","P193","-54.7","120.1","-120.1","9, 10, 27o, 35","2.179357026","2.179357026","0.650674119","0.166013303","NIMS, LEISA, Cantrall2018?","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM083","Tvashtar C (P156)","60.9","120.3","-120.3","41, 43","0.035290408","0.035290408","0.026427738","0.017565068","NIMS","Close to JRM084","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM084","Tvashtar A","62.8","123.5","-123.5","7, 11, 16, 17, 18, 24, 25i, 26, 27i, 37i, 41, 43","21.76269603","5.592564106","2.566189346","0.521339658","NIMS, LEISA, Cantrall2018","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM085","Maui Patera","16.4","124","-124","16, 17, 18, 41, 43","0.773780445","0.773780445","0.620114357","0.085562475","NIMS","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM261","Tvashtar D","66.2","124.4","-124.4","43","0.128194565","0.128194565","0.128194565","0.128194565","NIMS","Close to JRM084","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM086","P52","2","124.6","-124.6","17","0.059471675","0.059471675","0.059471675","0.059471675","NIMS","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM262","JRM262","70.5","125.4","-125.4","43","0.020393038","0.020393038","0.020393038","0.020393038","","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM087","P95","-12","128","-128","16, 17, 35","6.73802689","6.73802689","0.609446344","0.074949264","NIMS, deKleer2019","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM088","Malik Patera","-34.6","128.9","-128.9","10, 16, 27o, 35","21.25452457","5.993667342","5.398695305","1.436655298","NIMS, LEISA, Cantrall2018","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM259","JRM259","1.3","129.5","-129.5","18, 43","13.08960892","13.08960892","6.577772902","0.065936882","","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM089","P239","31.6","130.3","-130.3","17, 43","0.079867774","0.079867774","0.066836891","0.053806009","","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM090","Yeloje Patera A","20","131.5","-131.5","7, 16, 17, 18, 41, 43","4.005470451","1.854469713","0.931004109","0.074327512","NIMS, deKleer2019","Name approved by IAU Mar 2023","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM091","Yeloje Patera B","20.7","133","-133","41","0.731834716","0.731834716","0.731834716","0.731834716","","Close to JRM090, Name approved by IAU Mar 2023","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM092","JRM092","-2.5","133.2","-133.2","16, 17","0.252992459","0.252992459","0.193322221","0.133651984","NIMS?","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM093","Tien Mu Patera","11.9","134.3","-134.3","16, 17","0.128753","0.128753","0.09864685","0.068540701","NIMS","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM094","Thor","40","134.5","-134.5","7, 16, 17, 18, 25i, 26, 41, 43","3.014187383","3.014187383","2.225554799","1.426911789","NIMS, LEISA, Cantrall2018","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM251","P165","5.2","135.8","-135.8","16","0.043485869","0.043485869","0.043485869","0.043485869","NIMS","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM258","Camaxtli Patera","15.3","136.8","-136.8","43","0.142817","0.142817","0.142817","0.142817","NIMS","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM095","P63","35.3","137.3","-137.3","7, 16, 17, 18, 25i, 41, 43","1.935826928","1.935826928","0.892895717","0.466577074","NIMS","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM096","Ruaomoko Patera","14.5","139.6","-139.6","16","0.099958592","0.099958592","0.099958592","0.099958592","NIMS","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM097","Tupan Patera","-18.9","141.1","-141.1","7, 16, 17, 27o, 35","26.65878906","26.65878906","4.950433954","2.956252594","NIMS, LEISA, Cantrall2018","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM098","P151","39.2","141.4","-141.4","16, 17, 41, 43","0.508606596","0.508606596","0.213025288","0.09409478","NIMS","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM099","Mixcoatl Fluctus","-45.8","141.5","-141.5","10, 16, 25o, 27o, 35","13.0784212","13.0784212","4.740480797","1.583069025","NIMS?, Cantrall2018","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM100","PV3","60.5","143.4","-143.4","7, 16, 25i, 41, 43","0.548867024","0.548867024","0.142853178","0.076502801","NIMS","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM101","E. Surya","22.3","145.6","-145.6","7, 16, 17, 18, 41, 43","1.409561451","1.409561451","0.742762571","0.301630156","NIMS, Cantrall2018","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM102","Arinna Fluctus","31.1","148.6","-148.6","7, 16, 17, 18, 25i, 41, 43","1.022961174","1.022961174","0.642755543","0.401271088","NIMS","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
"JRM103","Sobo Fluctus","14.1","150.5","-150.5","7, 16, 17, 18","1.136917946","1.136917946","0.920035945","0.625653213","NIMS, Cantrall2018","","Davies et al. 2024 Nature Astronomy Supplementary Table S1; Juno JIRAM PJ5-PJ43"
