source_id,name,longitude,latitude,observation_time,wavelength_um,spectral_radiance,spectral_radiance_unit,source
092_c9i004tr_S10_S11_L86_n_converted_spectra_Loki_Patera_4_v01,Loki Patera 4,-51.20000000099998,12.6999999992,1997-06-26T22:48:45.00Z,0.8992,2088.32,PDS converted spectral_radiance,https://pds-atmospheres.nmsu.edu/PDS/data/PDS4/go_nims_io_rad/data_derived/unresolved_night/converted/092_c9i004tr_S10_S11_L86_n_converted_spectra_Loki_Patera_4_v01.csv
094_c9i004tr_S10_S11_L114_n_converted_spectra_Loki_Patera_5_v01,Loki Patera 5 GP6,-51.20000000099998,12.6999999992,1997-06-26T22:48:45.00Z,0.9514,7219.38,PDS converted spectral_radiance,https://pds-atmospheres.nmsu.edu/PDS/data/PDS4/go_nims_io_rad/data_derived/unresolved_night/converted/094_c9i004tr_S10_S11_L114_n_converted_spectra_Loki_Patera_5_v01.csv
096_c9i004tr_S10_S11_L142_n_converted_spectra_Loki_Patera_6_v01,Loki Patera 6 GP6,-51.20000000099998,12.6999999992,1997-06-26T22:48:45.00Z,0.8383,1387.12,PDS converted spectral_radiance,https://pds-atmospheres.nmsu.edu/PDS/data/PDS4/go_nims_io_rad/data_derived/unresolved_night/converted/096_c9i004tr_S10_S11_L142_n_converted_spectra_Loki_Patera_6_v01.csv
098_c9i008tr_S10_S11_L6_n_converted_spectra_Acala_Fluctus_region_inc._Tol-Ava_P._v01,Acala Fluctus region inc. Tol-Ava P. GP6 P.,-37.90000000100002,1.8000000014,1997-06-27T01:04:14.00Z,0.9253,854.587,PDS converted spectral_radiance,https://pds-atmospheres.nmsu.edu/PDS/data/PDS4/go_nims_io_rad/data_derived/unresolved_night/converted/098_c9i008tr_S10_S11_L6_n_converted_spectra_Acala_Fluctus_region_inc._Tol-Ava_P._v01.csv
099_c9i008tr_S12_S13_L11_n_converted_spectra_Janus_and-or_Kanehekili_v01,Janus and-or Kanehekili,42.5,-3.00000000055,1997-06-27T01:04:14.00Z,0.9514,559.67,PDS converted spectral_radiance,https://pds-atmospheres.nmsu.edu/PDS/data/PDS4/go_nims_io_rad/data_derived/unresolved_night/converted/099_c9i008tr_S12_S13_L11_n_converted_spectra_Janus_and-or_Kanehekili_v01.csv
100_c9i008tr_S10_S11_L27_n_converted_spectra_Acala_Fluctus_region_2_v01,Acala Fluctus region 2 GP2,-24.0,11.0000000028,1997-06-27T01:04:14.00Z,0.9514,654.531,PDS converted spectral_radiance,https://pds-atmospheres.nmsu.edu/PDS/data/PDS4/go_nims_io_rad/data_derived/unresolved_night/converted/100_c9i008tr_S10_S11_L27_n_converted_spectra_Acala_Fluctus_region_2_v01.csv
101_c9i008tr_S12_S13_L32_n_converted_spectra_Janus_and-or_Kanehekili_2_v01,Janus and-or Kanehekili 2 GP5,42.5,-3.00000000055,1997-06-27T01:04:14.00Z,0.7862,205.648,PDS converted spectral_radiance,https://pds-atmospheres.nmsu.edu/PDS/data/PDS4/go_nims_io_rad/data_derived/unresolved_night/converted/101_c9i008tr_S12_S13_L32_n_converted_spectra_Janus_and-or_Kanehekili_2_v01.csv
102_c9i008tr_S10_S11_L47_n_converted_spectra_Acala_Fluctus_region_3_v01,Acala Fluctus region 3,-24.0,11.0000000028,1997-06-27T01:04:14.00Z,0.9514,654.951,PDS converted spectral_radiance,https://pds-atmospheres.nmsu.edu/PDS/data/PDS4/go_nims_io_rad/data_derived/unresolved_night/converted/102_c9i008tr_S10_S11_L47_n_converted_spectra_Acala_Fluctus_region_3_v01.csv
103_c9i008tr_S12_S13_L53_n_converted_spectra_Janus_and-or_Kanehekili_3_v01,Janus and-or Kanehekili 3,42.5,-3.00000000055,1997-06-27T01:04:14.00Z,0.8123,233.137,PDS converted spectral_radiance,https://pds-atmospheres.nmsu.edu/PDS/data/PDS4/go_nims_io_rad/data_derived/unresolved_night/converted/103_c9i008tr_S12_S13_L53_n_converted_spectra_Janus_and-or_Kanehekili_3_v01.csv
104_c9i008tr_S10_S11_L68_n_converted_spectra_Acala_Fluctus_region_4_v01,Acala Fluctus region 4 GP2,-24.0,11.0000000028,1997-06-27T01:04:14.00Z,0.7602,331.673,PDS converted spectral_radiance,https://pds-atmospheres.nmsu.edu/PDS/data/PDS4/go_nims_io_rad/data_derived/unresolved_night/converted/104_c9i008tr_S10_S11_L68_n_converted_spectra_Acala_Fluctus_region_4_v01.csv
